loan_id,stage,loan_ecl,gross_exposure,current_pd_12m,origination_pd_12m,current_lifetime_pd,origination_lifetime_pd,current_ltv,current_dpd,remaining_months_to_legal_maturity,property_state,origination_date,primary_stage_reason,coverage_ratio,Base_scenario_ecl,Downside_scenario_ecl,Upside_scenario_ecl,average_lgd
RM001366,2,143.99514285272372,198958.17,0.006468246842329291,0.0016650307243999145,0.11743089695020237,0.03156949572653145,59.0,0.0,231,MD,2015-06-01,Absolute lifetime-PD deterioration,0.000723745814774652,142.52402125543014,157.10845177197976,138.5429796699384,0.020628616873384863
RM000352,2,143.76583682826492,266673.69,0.00539408681519136,0.0011855091202300088,0.09766105696044292,0.022285951306601492,39.0,0.0,228,MA,2015-03-01,Absolute lifetime-PD deterioration,0.000539107689357225,142.4112878029062,155.87318477077952,138.72333067835186,0.02
RM000715,2,142.03735683698113,106241.91,0.007468180900841313,0.0010749608769489445,0.23556180311474884,0.037806927812181756,48.0,0.0,430,TX,2015-05-01,Prior default history,0.0013369239769595738,140.6743863132918,154.19756575049524,136.9786307013321,0.02163825701142267
RM002468,2,141.8901046412819,146480.67,0.00777744074166707,0.00197439805434407,0.14178753983324532,0.03796410477568335,32.0,0.0,235,AZ,2015-10-01,Absolute lifetime-PD deterioration,0.0009686609478321058,140.32927207941597,155.79468040062935,136.11113205779077,0.02184755659754966
RM001819,2,141.84096042137372,98880.44,0.010481546810912032,0.002151445314657339,0.1850192596951139,0.04095655066906845,37.0,0.0,233,IN,2015-08-01,Absolute lifetime-PD deterioration,0.001434469349260316,140.26563605310682,155.88002144876714,136.00469610955423,0.022653233355722918
RM001371,2,141.21746948818526,204541.65,0.006617179750659335,0.0017633328222800668,0.12046093051525886,0.03354563053502502,27.0,0.0,232,NH,2015-07-01,Absolute lifetime-PD deterioration,0.0006904093591118741,139.80708534973493,153.8009921322891,135.98256516386988,0.020327445181296578
RM003418,2,140.8714895075813,302044.03,0.004294645583271367,0.0023287323411039272,0.0818188398053068,0.045187589343568146,71.0,0.0,238,TX,2016-01-01,Prior default history,0.00046639388802877937,139.61110408081106,152.14021437401843,136.17747007494614,0.020013427610438374
RM000307,2,140.31133816073583,134015.8,0.009523582882985725,0.0034059970675076896,0.1655794828927446,0.06250146646117993,34.0,0.0,227,MD,2015-02-01,Absolute lifetime-PD deterioration,0.0010469760890934937,138.8244132698606,153.5675980902427,134.7991995613361,0.02091567843939237
RM000554,2,140.04319395001897,243155.04,0.005825573136852428,0.0010698244280732863,0.10506979912348369,0.020132131898274785,35.0,0.0,228,NJ,2015-03-01,Prior default history,0.0005759419749227446,138.71887878682995,151.88006228007737,135.11340023145334,0.02
RM003179,2,140.0410054206957,126099.14,0.011457107049465537,0.0021161830084918914,0.20430900536751906,0.041145019346221945,30.0,0.0,238,OR,2016-01-01,Absolute lifetime-PD deterioration,0.0011105627319956005,138.74062016711713,151.67990079060615,135.18954749811576,0.02
RM000808,2,139.60316973544107,395128.97,0.0035596035936331055,0.0010033856287912542,0.06578650912817074,0.018975215521656597,31.0,0.0,229,CA,2015-04-01,Absolute lifetime-PD deterioration,0.00035331038808782123,138.26970067126993,151.51468199806828,134.64414378503494,0.02
RM000921,2,139.12545242392173,295965.72,0.004637242903347148,0.0014190897333947543,0.08594257373269432,0.02708175130521595,38.0,0.0,232,CO,2015-07-01,Absolute lifetime-PD deterioration,0.0004700728598701287,137.82209496324876,150.77419818066122,134.27421457920113,0.02
RM001172,2,138.89830038850576,227774.41,0.004767754321812033,0.0009612924836263639,0.08789371864539364,0.018343453037966584,27.0,0.0,231,NY,2015-06-01,Absolute lifetime-PD deterioration,0.0006098064325509865,137.38123009668985,152.41040043456502,133.28312761773955,0.021966419334333517
RM000381,2,138.75126715715277,74467.84,0.0045105360637607995,0.000812695590181808,0.08265419537343366,0.015395504924813008,29.0,0.0,229,MO,2015-04-01,Absolute lifetime-PD deterioration,0.0018632374345375503,137.13160650504994,153.16868893974436,132.76205840184463,0.05283620549942579
RM000275,2,138.71134292572899,189712.21,0.006591388328285598,0.002106564283473411,0.11807736455884155,0.03927487202705704,60.0,0.0,228,IL,2015-03-01,Prior default history,0.0007311671870025076,137.36820854263726,150.69550870660456,133.7256104828756,0.02037568363431956
RM003405,2,137.71696056255757,177931.3,0.008804724615906626,0.0018944938846593602,0.08193698536299365,0.0181638227707408,28.0,0.0,116,WA,2015-11-01,Absolute lifetime-PD deterioration,0.000773989514843974,135.9097728270427,153.78503111883683,131.046884196468,0.022564278914554065
RM003018,2,137.61179184934028,95970.61,0.003602558313037711,0.0020480409487597475,0.06879794696208619,0.03968150679562499,55.98285583333333,0.0,237,LA,2015-12-01,Absolute lifetime-PD deterioration,0.0014338951461217166,135.95831743176814,152.31830829421912,131.50557855296657,0.04578170231679171
RM001504,2,137.3477594360051,160061.18,0.006758134489647322,0.001463860227313584,0.12237481799625016,0.02780604749354232,27.0,0.0,231,CA,2015-06-01,Absolute lifetime-PD deterioration,0.0008580953822532429,135.84306483840615,150.75274629468944,131.7762913200342,0.0219734505586259
RM002988,2,136.5017463962494,230722.85,0.004831900225284001,0.001432027306260766,0.09122826142561424,0.02790603689881721,32.0,0.0,237,CA,2015-12-01,Absolute lifetime-PD deterioration,0.0005916264747780698,135.04498008029964,149.47858064074865,131.10853349298725,0.021363586878377215
RM001349,2,136.38170360811165,321279.45,0.004200185850771103,0.0012235494681426074,0.07815170428640117,0.02339184133900296,36.0,0.0,232,CA,2015-07-01,Absolute lifetime-PD deterioration,0.00042449557109274075,135.08318764888358,147.980564463555,131.55295130496125,0.020034766787556103
RM002633,2,136.15015609826605,170918.57,0.005947508760869322,0.0018880521742041009,0.11069666350923613,0.03648458301186708,41.0,0.0,236,IL,2015-11-01,Absolute lifetime-PD deterioration,0.0007965790732877419,134.6486336023827,149.52071437279838,130.5945979494936,0.022185290846572343
RM002460,2,135.8193721591533,389653.53,0.0017718602778107073,0.0007033013383476515,0.06184823589478339,0.02500969902053063,70.08157014388489,0.0,432,FL,2015-08-01,Prior default history,0.0003485644597115629,134.50756039281006,147.50830833556176,130.9605437017484,0.021866220198078556
RM002958,2,135.4725184906605,157273.52,0.008344143448199793,0.0015888375827303415,0.1525201586689483,0.030916497771183438,33.0,0.0,237,RI,2015-12-01,Absolute lifetime-PD deterioration,0.0008613816139593016,134.1348739071682,147.41252954487697,130.5039048618801,0.020279208452932754
RM001476,2,135.38949323298743,52985.33,0.011592656176387458,0.002365782912935565,0.2018301937764403,0.04475999771195138,23.0,0.0,232,MS,2015-07-01,Absolute lifetime-PD deterioration,0.0025552260075192026,133.83908507857583,149.21224112204285,129.64166597904006,0.030976804597706725
RM002768,2,135.256935443851,183782.69,0.0027398921980279494,0.001425302228498252,0.052528574818894946,0.027661164537409078,65.97327333333332,0.0,236,CT,2015-11-01,Absolute lifetime-PD deterioration,0.0007359612346725963,133.6353902452426,149.675435663577,129.27135450821038,0.032535661000586254
RM001682,2,135.05096263189614,120094.41,0.007606269212502056,0.001838397370206931,0.1366890844610592,0.03480171200088489,30.0,0.0,231,NJ,2015-06-01,Absolute lifetime-PD deterioration,0.0011245399567881315,133.52538227025312,148.63989480937542,129.40359231789975,0.02365677736787216
RM002450,2,134.51159765917177,129543.09,0.009149159447800148,0.0018787790278465169,0.16472620129905535,0.036157483209989794,38.0,0.0,235,CA,2015-10-01,Absolute lifetime-PD deterioration,0.0010383540925198848,133.09737762374027,147.11908076920065,129.26938437095947,0.020953884709834832
RM001906,2,133.99264954081204,247530.84,0.004808719020946232,0.0013193579680476789,0.08971378153573262,0.025415904002247913,35.0,0.0,234,MA,2015-09-01,Absolute lifetime-PD deterioration,0.0005413169912113256,132.5932777748771,146.46129876169192,128.80983970617626,0.02078894895768063
RM002770,2,133.83133140346303,295305.14,0.004481293181198654,0.0011667647708788922,0.08488399875020447,0.022793275204044616,41.0,0.0,237,CO,2015-12-01,Absolute lifetime-PD deterioration,0.0004531967557471672,132.57721105093438,145.03901952999095,129.16403544227225,0.02
RM000457,2,133.5579813692972,146230.99,0.002431628894121684,0.0011898107668818943,0.045397346297703756,0.022462939072609434,63.879853526315785,0.0,229,LA,2015-04-01,Absolute lifetime-PD deterioration,0.0009133356846541025,131.9393627134986,147.94882366027878,127.58430728806046,0.04350648238861367
RM000220,2,133.36277803461587,128032.87,0.006108459010700101,0.0004752454747430185,0.10989571366510231,0.008991146070634781,30.0,0.0,228,SC,2015-03-01,Absolute lifetime-PD deterioration,0.0010416292162677902,132.13082959598512,144.4004781929792,128.75898930429207,0.021152943037047747
RM002148,2,133.26042407177488,86167.32,0.007626335501542528,0.000899335401781585,0.1386751153723027,0.017391914798830843,24.0,0.0,234,NH,2015-09-01,Prior default history,0.0015465309130163834,131.95021070485626,144.9918908886798,128.36918988050553,0.02346529221849735
RM001674,2,133.08551441312622,258775.59,0.004629101218946844,0.0013558588407918389,0.0857980145578553,0.025890012057057987,32.0,0.0,232,CA,2015-07-01,Absolute lifetime-PD deterioration,0.0005142892898558408,131.69108916137802,145.50982536115015,127.92120302136219,0.02076780425362254
RM001548,2,132.9727868722083,288435.26,0.004008865188995198,0.0014294961703126895,0.0747214914217239,0.02727775325786974,31.0,0.0,232,NY,2015-07-01,Absolute lifetime-PD deterioration,0.0004610143256140331,131.57149267671176,145.45655204564474,127.78421607410596,0.02095535861988506
RM003377,2,132.68428486135477,374954.74,0.0025287473363576275,0.0016473646657515662,0.04877629509138848,0.032037837207519404,62.78311925581395,0.0,237,CA,2015-12-01,Prior default history,0.00035386746907468025,131.2587155054465,145.37228592104523,127.41394833136913,0.021994944966948916
RM002007,2,132.43531137786673,119447.54,0.008714480894885065,0.0023192433504393207,0.15690627231688592,0.044268029414504695,33.0,0.0,234,IL,2015-09-01,Absolute lifetime-PD deterioration,0.0011087320122111074,130.96150389590568,145.56459297714116,126.97857348884462,0.022139264503305615
RM001932,2,131.5527167273738,276072.6,0.004477223652760954,0.0013876795693448171,0.08378286045226502,0.026715207277223096,40.0,0.0,234,MI,2015-09-01,Absolute lifetime-PD deterioration,0.0004765149338520875,130.2393431006667,143.26510450814973,126.68166673418553,0.02033431312437183
RM002621,2,131.44909543658656,166055.8,0.0051345601109475635,0.0010779161415055655,0.09628371885091191,0.020987091404943925,29.0,0.0,236,UT,2015-11-01,Absolute lifetime-PD deterioration,0.0007915959300222369,129.96516503017637,144.6623092235693,125.95909481848321,0.024000733805835863
RM001956,2,131.3974978773328,305905.29,0.004143654013564854,0.0012264881962266616,0.07777783388620185,0.023647118004633594,31.0,0.0,234,CA,2015-09-01,Absolute lifetime-PD deterioration,0.00042953653360271345,130.09169949354182,143.0448761916278,126.55282497900549,0.020241930349678174
RM001802,2,131.26543841599687,122969.23,0.008581260473153647,0.0020603804220974673,0.15408677291036033,0.03925570734162198,29.0,0.0,233,AZ,2015-08-01,Absolute lifetime-PD deterioration,0.0010674657263121585,129.82595196196598,144.09205973737437,125.93369038522755,0.02186139067857998
RM000200,2,131.0545184713886,165228.56,0.008127626613680177,0.0016331090847764456,0.14363267839536198,0.030577200984495123,38.0,0.0,228,OH,2015-03-01,Absolute lifetime-PD deterioration,0.0007931710986973959,129.81914191739406,142.1024857718685,126.45172224154862,0.02
RM001878,2,130.72167111936238,243689.61,0.005362741966818146,0.0020669446072646295,0.09914122609694398,0.03937840400186399,28.0,0.0,233,CA,2015-08-01,Absolute lifetime-PD deterioration,0.0005364269371983582,129.4565492826751,142.01878984600106,126.01943125814533,0.02008222065930692
RM003098,2,130.37959993043486,218371.51,0.005940375086691467,0.0012447664973882025,0.11057114328132234,0.02419807282508335,38.0,0.0,236,GA,2015-11-01,Absolute lifetime-PD deterioration,0.0005970540750963112,129.16162652145525,141.2681253468005,125.8442138429547,0.02
RM001128,2,130.221348170241,176874.78,0.005395606618365408,0.0010014600356658692,0.04838395714018662,0.009142600062851947,32.0,0.0,110,MO,2015-05-01,Absolute lifetime-PD deterioration,0.0007362346863144705,128.4453710807602,145.9920686496207,123.67986606605518,0.03287772992080316
RM001630,2,130.18913325121082,159970.04,0.007605681971436192,0.0018109715232877833,0.13722834574321507,0.03443693177322815,29.0,0.0,232,FL,2015-07-01,Absolute lifetime-PD deterioration,0.0008138344733251978,128.84322014417666,142.18999408354682,125.19855303273987,0.020606353614851646
RM003128,2,130.1401872237101,167968.1,0.007842780182613557,0.0016779636923323407,0.14457909785248013,0.0327589761293271,39.0,0.0,238,CO,2016-01-01,Absolute lifetime-PD deterioration,0.0007747910896396999,128.92460205302092,141.01122709391035,125.61108510158867,0.02
RM002461,2,130.0407002559396,200360.39,0.00648609801850591,0.0016020313823396862,0.11917020855173566,0.030780976445751396,46.0,0.0,234,TX,2015-09-01,Absolute lifetime-PD deterioration,0.0006490339745093309,128.82643109968345,140.89756707267225,125.51812420832802,0.02
RM003435,2,129.8198146332259,110811.02,0.005542177732258351,0.0007674196538384805,0.10436792970617137,0.015110998549154875,57.0,0.0,238,MD,2016-01-01,Absolute lifetime-PD deterioration,0.0011715424569977415,128.2844784265717,143.48020386958714,124.14675476120792,0.027975075975458646
RM003219,2,129.79778174947802,286406.21,0.003182793281899104,0.0010948929760132159,0.0612687704979088,0.02149293706677846,43.0,0.0,238,NY,2016-01-01,Absolute lifetime-PD deterioration,0.0004531947186112969,128.3585562831124,142.60840689251208,124.4762290693593,0.02266078617846712
RM002908,2,129.22754501222838,221491.25,0.0057901258928423835,0.0012674634473254847,0.10835511332834158,0.024737175119310062,32.0,0.0,237,GA,2015-12-01,Absolute lifetime-PD deterioration,0.0005834431157539107,128.02080577818742,140.01529573091335,124.73422308644258,0.02
RM001264,2,129.15877700965146,268889.74,0.0048522782858865625,0.0012050682462105592,0.08901456414634357,0.022846054149008976,21.0,0.0,230,CA,2015-05-01,Absolute lifetime-PD deterioration,0.00048034103870847383,127.92759987465391,140.15931662583537,124.5782915972704,0.020005405072451177
RM002837,2,129.1047639290743,206814.21,0.006298100461312193,0.0019270776438315026,0.1173096673239673,0.0373799590494166,20.0,0.0,237,CA,2015-12-01,Absolute lifetime-PD deterioration,0.000624254803038313,127.88352218994144,140.01996315266518,124.55892533036854,0.020011654661792094
RM000520,2,128.8155255661378,248963.29,0.004947533917695428,0.0012335667315591845,0.09030852367470144,0.023279840683498643,36.0,0.0,229,CA,2015-04-01,Absolute lifetime-PD deterioration,0.0005174077092495757,127.535675764448,140.23262076955874,124.06633431089607,0.02027470864647144
